,Borough,Latitude,Longitude,Neighborhood,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,11th Most Common Venue,12th Most Common Venue,13th Most Common Venue,14th Most Common Venue,15th Most Common Venue,16th Most Common Venue,17th Most Common Venue,18th Most Common Venue,19th Most Common Venue,20th Most Common Venue,21th Most Common Venue,22th Most Common Venue,23th Most Common Venue,24th Most Common Venue,25th Most Common Venue,26th Most Common Venue,27th Most Common Venue,28th Most Common Venue,29th Most Common Venue,30th Most Common Venue,31th Most Common Venue,32th Most Common Venue,33th Most Common Venue,34th Most Common Venue,35th Most Common Venue,36th Most Common Venue,37th Most Common Venue,38th Most Common Venue,39th Most Common Venue,40th Most Common Venue,41th Most Common Venue,42th Most Common Venue,43th Most Common Venue,44th Most Common Venue,45th Most Common Venue,46th Most Common Venue,47th Most Common Venue,48th Most Common Venue,49th Most Common Venue,50th Most Common Venue
43,H9J ,45.4529194,-73.8647559, Kirkland,6,Fast Food Restaurant,Italian Restaurant,Optical Shop,Pizza Place,Big Box Store,Seafood Restaurant,Spa,Medical Center,Gas Station,Bakery,Yoga Studio,Dive Bar,Dumpling Restaurant,Drugstore,Diner,Empanada Restaurant,English Restaurant,Discount Store,Dessert Shop,Dim Sum Restaurant,Falafel Restaurant,Department Store,Deli / Bodega,Cycle Studio,Currency Exchange,Curling Ice,Cupcake Shop,Cuban Restaurant,Creperie,Event Space,Filipino Restaurant,Farm,Farmers Market,Gym Pool,Gym / Fitness Center,Gym,Grocery Store,Greek Restaurant,Gourmet Shop,Golf Course,Gift Shop,German Restaurant,Gastropub,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food
44,H1K ,45.6048982,-73.5466723, Anjou East,6,Portuguese Restaurant,Supermarket,Bus Stop,Farmers Market,Falafel Restaurant,Event Space,English Restaurant,Empanada Restaurant,Dumpling Restaurant,Drugstore,Dive Bar,Discount Store,Diner,Dim Sum Restaurant,Dessert Shop,Department Store,Deli / Bodega,Cycle Studio,Currency Exchange,Curling Ice,Cupcake Shop,Cuban Restaurant,Creperie,Coworking Space,Cosmetics Shop,Farm,Fast Food Restaurant,Construction & Landscaping,Filipino Restaurant,Hardware Store,Harbor / Marina,Gym Pool,Gym / Fitness Center,Gym,Grocery Store,Greek Restaurant,Gourmet Shop,Golf Course,Gift Shop,German Restaurant,Gastropub,Gas Station,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food,Fish & Chips Shop
45,H3K ,45.4800927,-73.5641763, Pointe-Saint-Charles,6,Cocktail Bar,Pizza Place,Gym,Restaurant,Indian Restaurant,Sports Bar,Caribbean Restaurant,Sushi Restaurant,Bike Rental / Bike Share,Chocolate Shop,Bar,Liquor Store,Café,Hardware Store,Convenience Store,Vietnamese Restaurant,Dive Bar,Drugstore,Discount Store,Dumpling Restaurant,Empanada Restaurant,Yoga Studio,Dessert Shop,Diner,Dim Sum Restaurant,Event Space,Department Store,Deli / Bodega,Cycle Studio,Currency Exchange,Curling Ice,Cupcake Shop,English Restaurant,Fast Food Restaurant,Falafel Restaurant,Farm,Gym Pool,Gym / Fitness Center,Grocery Store,Greek Restaurant,Gourmet Shop,Golf Course,Gift Shop,German Restaurant,Gastropub,Gas Station,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant
46,H4K ,45.522935000000004,-73.73728805009411, Cartierville South west,5,Park,Dim Sum Restaurant,Farm,Falafel Restaurant,Event Space,English Restaurant,Empanada Restaurant,Dumpling Restaurant,Drugstore,Dive Bar,Discount Store,Diner,Yoga Studio,Convenience Store,Dessert Shop,Department Store,Deli / Bodega,Cycle Studio,Currency Exchange,Curling Ice,Cupcake Shop,Cuban Restaurant,Creperie,Coworking Space,Farmers Market,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Hawaiian Restaurant,Hardware Store,Harbor / Marina,Gym Pool,Gym / Fitness Center,Gym,Grocery Store,Greek Restaurant,Gourmet Shop,Golf Course,Gift Shop,German Restaurant,Gastropub,Gas Station,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food,Cosmetics Shop
47,H7K ,45.6310127,-73.7519982, Auteuil South,4,Farmers Market,Convenience Store,Coffee Shop,Grocery Store,Pharmacy,Dim Sum Restaurant,Falafel Restaurant,Event Space,English Restaurant,Empanada Restaurant,Dumpling Restaurant,Drugstore,Dive Bar,Discount Store,Diner,Yoga Studio,Dessert Shop,Farm,Deli / Bodega,Cycle Studio,Currency Exchange,Curling Ice,Cupcake Shop,Cuban Restaurant,Creperie,Coworking Space,Department Store,Fast Food Restaurant,Filipino Restaurant,Gift Shop,Hawaiian Restaurant,Hardware Store,Harbor / Marina,Gym Pool,Gym / Fitness Center,Gym,Greek Restaurant,Gourmet Shop,Golf Course,German Restaurant,Fish & Chips Shop,Gastropub,Gas Station,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food
48,H9K ,45.414543,-73.9603253, Senneville,13,Park,Italian Restaurant,Yoga Studio,Falafel Restaurant,Event Space,English Restaurant,Empanada Restaurant,Dumpling Restaurant,Drugstore,Dive Bar,Discount Store,Diner,Dim Sum Restaurant,Dessert Shop,Farmers Market,Department Store,Deli / Bodega,Cycle Studio,Currency Exchange,Curling Ice,Cupcake Shop,Cuban Restaurant,Creperie,Coworking Space,Farm,Fast Food Restaurant,Convenience Store,Filipino Restaurant,Hardware Store,Harbor / Marina,Gym Pool,Gym / Fitness Center,Gym,Grocery Store,Greek Restaurant,Gourmet Shop,Golf Course,Gift Shop,German Restaurant,Gastropub,Gas Station,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food,Fish & Chips Shop,Cosmetics Shop
49,H1L ,45.310444,-73.746051, Mercier North,3,Fast Food Restaurant,Home Service,Sandwich Place,Construction & Landscaping,Coworking Space,Creperie,Falafel Restaurant,Event Space,English Restaurant,Empanada Restaurant,Dumpling Restaurant,Drugstore,Dive Bar,Discount Store,Cosmetics Shop,Diner,Dim Sum Restaurant,Farm,Department Store,Deli / Bodega,Cycle Studio,Currency Exchange,Curling Ice,Cupcake Shop,Cuban Restaurant,Dessert Shop,Yoga Studio,Farmers Market,Filipino Restaurant,Hardware Store,Harbor / Marina,Gym Pool,Gym / Fitness Center,Gym,Grocery Store,Greek Restaurant,Gourmet Shop,Golf Course,Gift Shop,German Restaurant,Gastropub,Gas Station,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food,Fish & Chips Shop
50,H2L ,-33.76976025,150.73285139837571, Centre-Sud South,6,Café,Sandwich Place,Yoga Studio,Diner,Falafel Restaurant,Event Space,English Restaurant,Empanada Restaurant,Dumpling Restaurant,Drugstore,Dive Bar,Discount Store,Dim Sum Restaurant,Farmers Market,Dessert Shop,Department Store,Deli / Bodega,Cycle Studio,Currency Exchange,Curling Ice,Cupcake Shop,Cuban Restaurant,Creperie,Coworking Space,Farm,Fast Food Restaurant,Convenience Store,Gift Shop,Hawaiian Restaurant,Hardware Store,Harbor / Marina,Gym Pool,Gym / Fitness Center,Gym,Grocery Store,Greek Restaurant,Gourmet Shop,Golf Course,German Restaurant,Filipino Restaurant,Gastropub,Gas Station,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food,Fish & Chips Shop
51,H3L ,45.55930765,-73.65270165067771, Ahuntsic South west,6,Café,Restaurant,Plaza,Vietnamese Restaurant,Pharmacy,Hardware Store,Coffee Shop,Furniture / Home Store,Breakfast Spot,Ice Cream Shop,Fast Food Restaurant,Sausage Shop,Yoga Studio,Discount Store,Dive Bar,Dim Sum Restaurant,Drugstore,Dumpling Restaurant,Diner,Department Store,Dessert Shop,English Restaurant,Deli / Bodega,Cycle Studio,Currency Exchange,Curling Ice,Cupcake Shop,Cuban Restaurant,Creperie,Empanada Restaurant,Farm,Event Space,Falafel Restaurant,Gym Pool,Gym / Fitness Center,Gym,Grocery Store,Greek Restaurant,Gourmet Shop,Golf Course,Gift Shop,German Restaurant,Gastropub,Gas Station,Gaming Cafe,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food
52,H4L ,45.5088774,-73.6875187, Saint-Laurent  Northeast,11,Italian Restaurant,Pizza Place,Convenience Store,Seafood Restaurant,Greek Restaurant,Sandwich Place,Bank,Thai Restaurant,Dim Sum Restaurant,English Restaurant,Empanada Restaurant,Dumpling Restaurant,Drugstore,Dive Bar,Discount Store,Diner,Yoga Studio,Dessert Shop,Department Store,Falafel Restaurant,Deli / Bodega,Cycle Studio,Currency Exchange,Curling Ice,Cupcake Shop,Cuban Restaurant,Creperie,Coworking Space,Event Space,Fast Food Restaurant,Farm,Gastropub,Harbor / Marina,Gym Pool,Gym / Fitness Center,Gym,Grocery Store,Gourmet Shop,Golf Course,Gift Shop,German Restaurant,Gas Station,Farmers Market,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food
53,H7L ,45.6252619,-73.7644341, Sainte-Rose,13,Skating Rink,Train Station,Park,Dessert Shop,Falafel Restaurant,Event Space,English Restaurant,Empanada Restaurant,Dumpling Restaurant,Drugstore,Dive Bar,Discount Store,Diner,Dim Sum Restaurant,Yoga Studio,Farm,Deli / Bodega,Cycle Studio,Currency Exchange,Curling Ice,Cupcake Shop,Cuban Restaurant,Creperie,Coworking Space,Cosmetics Shop,Department Store,Farmers Market,Construction & Landscaping,German Restaurant,Hardware Store,Harbor / Marina,Gym Pool,Gym / Fitness Center,Gym,Grocery Store,Greek Restaurant,Gourmet Shop,Golf Course,Gift Shop,Gastropub,Fast Food Restaurant,Gas Station,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food,Fish & Chips Shop
55,H1M ,45.310444,-73.746051, Mercier West,3,Fast Food Restaurant,Home Service,Sandwich Place,Construction & Landscaping,Coworking Space,Creperie,Falafel Restaurant,Event Space,English Restaurant,Empanada Restaurant,Dumpling Restaurant,Drugstore,Dive Bar,Discount Store,Cosmetics Shop,Diner,Dim Sum Restaurant,Farm,Department Store,Deli / Bodega,Cycle Studio,Currency Exchange,Curling Ice,Cupcake Shop,Cuban Restaurant,Dessert Shop,Yoga Studio,Farmers Market,Filipino Restaurant,Hardware Store,Harbor / Marina,Gym Pool,Gym / Fitness Center,Gym,Grocery Store,Greek Restaurant,Gourmet Shop,Golf Course,Gift Shop,German Restaurant,Gastropub,Gas Station,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food,Fish & Chips Shop
56,H2M ,45.55930765,-73.65270165067771, Ahuntsic East,6,Café,Restaurant,Plaza,Vietnamese Restaurant,Pharmacy,Hardware Store,Coffee Shop,Furniture / Home Store,Breakfast Spot,Ice Cream Shop,Fast Food Restaurant,Sausage Shop,Yoga Studio,Discount Store,Dive Bar,Dim Sum Restaurant,Drugstore,Dumpling Restaurant,Diner,Department Store,Dessert Shop,English Restaurant,Deli / Bodega,Cycle Studio,Currency Exchange,Curling Ice,Cupcake Shop,Cuban Restaurant,Creperie,Empanada Restaurant,Farm,Event Space,Falafel Restaurant,Gym Pool,Gym / Fitness Center,Gym,Grocery Store,Greek Restaurant,Gourmet Shop,Golf Course,Gift Shop,German Restaurant,Gastropub,Gas Station,Gaming Cafe,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food
57,H3M ,45.522935000000004,-73.73728805009411, Cartierville Northeast,5,Park,Dim Sum Restaurant,Farm,Falafel Restaurant,Event Space,English Restaurant,Empanada Restaurant,Dumpling Restaurant,Drugstore,Dive Bar,Discount Store,Diner,Yoga Studio,Convenience Store,Dessert Shop,Department Store,Deli / Bodega,Cycle Studio,Currency Exchange,Curling Ice,Cupcake Shop,Cuban Restaurant,Creperie,Coworking Space,Farmers Market,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Hawaiian Restaurant,Hardware Store,Harbor / Marina,Gym Pool,Gym / Fitness Center,Gym,Grocery Store,Greek Restaurant,Gourmet Shop,Golf Course,Gift Shop,German Restaurant,Gastropub,Gas Station,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food,Cosmetics Shop
58,H4M ,45.5088774,-73.6875187, Saint-Laurent East,11,Italian Restaurant,Pizza Place,Convenience Store,Seafood Restaurant,Greek Restaurant,Sandwich Place,Bank,Thai Restaurant,Dim Sum Restaurant,English Restaurant,Empanada Restaurant,Dumpling Restaurant,Drugstore,Dive Bar,Discount Store,Diner,Yoga Studio,Dessert Shop,Department Store,Falafel Restaurant,Deli / Bodega,Cycle Studio,Currency Exchange,Curling Ice,Cupcake Shop,Cuban Restaurant,Creperie,Coworking Space,Event Space,Fast Food Restaurant,Farm,Gastropub,Harbor / Marina,Gym Pool,Gym / Fitness Center,Gym,Grocery Store,Gourmet Shop,Golf Course,Gift Shop,German Restaurant,Gas Station,Farmers Market,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food
59,H7M ,45.60396,-73.7428423, Vimont,6,Train Station,Automotive Shop,Yoga Studio,Dim Sum Restaurant,Farm,Falafel Restaurant,Event Space,English Restaurant,Empanada Restaurant,Dumpling Restaurant,Drugstore,Dive Bar,Discount Store,Diner,Dessert Shop,Fast Food Restaurant,Department Store,Deli / Bodega,Cycle Studio,Currency Exchange,Curling Ice,Cupcake Shop,Cuban Restaurant,Creperie,Coworking Space,Farmers Market,Fish & Chips Shop,Filipino Restaurant,Convenience Store,Hawaiian Restaurant,Hardware Store,Harbor / Marina,Gym Pool,Gym / Fitness Center,Gym,Grocery Store,Greek Restaurant,Gourmet Shop,Golf Course,Gift Shop,German Restaurant,Gastropub,Gas Station,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food
60,H1N ,45.310444,-73.746051, Mercier Southeast,3,Fast Food Restaurant,Home Service,Sandwich Place,Construction & Landscaping,Coworking Space,Creperie,Falafel Restaurant,Event Space,English Restaurant,Empanada Restaurant,Dumpling Restaurant,Drugstore,Dive Bar,Discount Store,Cosmetics Shop,Diner,Dim Sum Restaurant,Farm,Department Store,Deli / Bodega,Cycle Studio,Currency Exchange,Curling Ice,Cupcake Shop,Cuban Restaurant,Dessert Shop,Yoga Studio,Farmers Market,Filipino Restaurant,Hardware Store,Harbor / Marina,Gym Pool,Gym / Fitness Center,Gym,Grocery Store,Greek Restaurant,Gourmet Shop,Golf Course,Gift Shop,German Restaurant,Gastropub,Gas Station,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food,Fish & Chips Shop
61,H2N ,45.55930765,-73.65270165067771, Ahuntsic Southeast,6,Café,Restaurant,Plaza,Vietnamese Restaurant,Pharmacy,Hardware Store,Coffee Shop,Furniture / Home Store,Breakfast Spot,Ice Cream Shop,Fast Food Restaurant,Sausage Shop,Yoga Studio,Discount Store,Dive Bar,Dim Sum Restaurant,Drugstore,Dumpling Restaurant,Diner,Department Store,Dessert Shop,English Restaurant,Deli / Bodega,Cycle Studio,Currency Exchange,Curling Ice,Cupcake Shop,Cuban Restaurant,Creperie,Empanada Restaurant,Farm,Event Space,Falafel Restaurant,Gym Pool,Gym / Fitness Center,Gym,Grocery Store,Greek Restaurant,Gourmet Shop,Golf Course,Gift Shop,German Restaurant,Gastropub,Gas Station,Gaming Cafe,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food
62,H3N ,45.52916265,-73.62996728484705, Parc-Extension,6,Tennis Court,Greek Restaurant,Café,Bank,Bakery,Bus Line,Currency Exchange,Cycle Studio,Farm,Falafel Restaurant,Event Space,English Restaurant,Creperie,Empanada Restaurant,Dumpling Restaurant,Drugstore,Dive Bar,Discount Store,Diner,Dim Sum Restaurant,Farmers Market,Dessert Shop,Department Store,Cuban Restaurant,Cupcake Shop,Curling Ice,Deli / Bodega,Yoga Studio,Fish & Chips Shop,Fast Food Restaurant,Filipino Restaurant,Hawaiian Restaurant,Hardware Store,Harbor / Marina,Gym Pool,Gym / Fitness Center,Gym,Grocery Store,Gourmet Shop,Golf Course,Gift Shop,German Restaurant,Gastropub,Gas Station,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop
63,H4N ,45.5088774,-73.6875187, Saint-Laurent Northeast,11,Italian Restaurant,Pizza Place,Convenience Store,Seafood Restaurant,Greek Restaurant,Sandwich Place,Bank,Thai Restaurant,Dim Sum Restaurant,English Restaurant,Empanada Restaurant,Dumpling Restaurant,Drugstore,Dive Bar,Discount Store,Diner,Yoga Studio,Dessert Shop,Department Store,Falafel Restaurant,Deli / Bodega,Cycle Studio,Currency Exchange,Curling Ice,Cupcake Shop,Cuban Restaurant,Creperie,Coworking Space,Event Space,Fast Food Restaurant,Farm,Gastropub,Harbor / Marina,Gym Pool,Gym / Fitness Center,Gym,Grocery Store,Gourmet Shop,Golf Course,Gift Shop,German Restaurant,Gas Station,Farmers Market,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food
64,H7N ,45.5564172,-73.7005593, Laval-des-Rapides,4,Fast Food Restaurant,Grocery Store,Music Store,Convenience Store,Cuban Restaurant,Cupcake Shop,Farm,Falafel Restaurant,Event Space,Coworking Space,English Restaurant,Empanada Restaurant,Dumpling Restaurant,Drugstore,Dive Bar,Discount Store,Diner,Farmers Market,Dessert Shop,Department Store,Deli / Bodega,Cycle Studio,Creperie,Currency Exchange,Curling Ice,Dim Sum Restaurant,Yoga Studio,Filipino Restaurant,Gift Shop,Hawaiian Restaurant,Hardware Store,Harbor / Marina,Gym Pool,Gym / Fitness Center,Gym,Greek Restaurant,Gourmet Shop,Golf Course,German Restaurant,Fish & Chips Shop,Gastropub,Gas Station,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food,Cosmetics Shop
65,H8N ,45.4325141,-73.6292667, LaSalle Northwest,6,Fast Food Restaurant,Pharmacy,Bank,Coffee Shop,Italian Restaurant,Indian Restaurant,Optical Shop,Chinese Restaurant,Gym / Fitness Center,Bookstore,Furniture / Home Store,Department Store,Café,Discount Store,Restaurant,Pet Store,Grocery Store,Bakery,BBQ Joint,Sandwich Place,Middle Eastern Restaurant,Dumpling Restaurant,Drugstore,Dive Bar,Cupcake Shop,Dessert Shop,Diner,Dim Sum Restaurant,Curling Ice,Deli / Bodega,Cycle Studio,Currency Exchange,Empanada Restaurant,Yoga Studio,English Restaurant,Event Space,Gym,Greek Restaurant,Gourmet Shop,Golf Course,Gift Shop,German Restaurant,Gastropub,Gas Station,Gaming Cafe,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food
66,H1P ,45.58671,-73.5969488, Saint-Léonard North,12,Dessert Shop,Hockey Arena,Drugstore,Discount Store,Dim Sum Restaurant,Farm,Falafel Restaurant,Event Space,English Restaurant,Empanada Restaurant,Dumpling Restaurant,Dive Bar,Diner,Yoga Studio,Fast Food Restaurant,Department Store,Deli / Bodega,Cycle Studio,Currency Exchange,Curling Ice,Cupcake Shop,Cuban Restaurant,Creperie,Coworking Space,Farmers Market,Filipino Restaurant,Convenience Store,Fish & Chips Shop,Hawaiian Restaurant,Hardware Store,Harbor / Marina,Gym Pool,Gym / Fitness Center,Gym,Grocery Store,Greek Restaurant,Gourmet Shop,Golf Course,Gift Shop,German Restaurant,Gastropub,Gas Station,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food,Cosmetics Shop
67,H2P ,45.558557050000005,-73.61199601529296, Villeray West,0,Park,Pizza Place,Diner,Restaurant,Theater,Department Store,English Restaurant,Empanada Restaurant,Dumpling Restaurant,Drugstore,Dive Bar,Discount Store,Dim Sum Restaurant,Dessert Shop,Yoga Studio,Deli / Bodega,Falafel Restaurant,Cycle Studio,Currency Exchange,Curling Ice,Cupcake Shop,Cuban Restaurant,Creperie,Coworking Space,Cosmetics Shop,Event Space,Farm,Construction & Landscaping,Gastropub,Harbor / Marina,Gym Pool,Gym / Fitness Center,Gym,Grocery Store,Greek Restaurant,Gourmet Shop,Golf Course,Gift Shop,German Restaurant,Gas Station,Farmers Market,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food,Fish & Chips Shop,Filipino Restaurant
68,H3P ,45.5086157,-73.5903112, Mount Royal North,9,Monument / Landmark,Scenic Lookout,Trail,Café,Diner,Falafel Restaurant,Event Space,English Restaurant,Empanada Restaurant,Dumpling Restaurant,Drugstore,Dive Bar,Discount Store,Yoga Studio,Farm,Dessert Shop,Department Store,Deli / Bodega,Cycle Studio,Currency Exchange,Curling Ice,Cupcake Shop,Cuban Restaurant,Creperie,Coworking Space,Dim Sum Restaurant,Farmers Market,Convenience Store,German Restaurant,Hardware Store,Harbor / Marina,Gym Pool,Gym / Fitness Center,Gym,Grocery Store,Greek Restaurant,Gourmet Shop,Golf Course,Gift Shop,Gastropub,Fast Food Restaurant,Gas Station,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food,Fish & Chips Shop
69,H4P ,45.5086157,-73.5903112, Mount Royal South,9,Monument / Landmark,Scenic Lookout,Trail,Café,Diner,Falafel Restaurant,Event Space,English Restaurant,Empanada Restaurant,Dumpling Restaurant,Drugstore,Dive Bar,Discount Store,Yoga Studio,Farm,Dessert Shop,Department Store,Deli / Bodega,Cycle Studio,Currency Exchange,Curling Ice,Cupcake Shop,Cuban Restaurant,Creperie,Coworking Space,Dim Sum Restaurant,Farmers Market,Convenience Store,German Restaurant,Hardware Store,Harbor / Marina,Gym Pool,Gym / Fitness Center,Gym,Grocery Store,Greek Restaurant,Gourmet Shop,Golf Course,Gift Shop,Gastropub,Fast Food Restaurant,Gas Station,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food,Fish & Chips Shop
70,H7P ,45.5677099,-73.8433046, Fabreville,10,Cosmetics Shop,Yoga Studio,Dim Sum Restaurant,Farm,Falafel Restaurant,Event Space,English Restaurant,Empanada Restaurant,Dumpling Restaurant,Drugstore,Dive Bar,Discount Store,Diner,Dessert Shop,Historic Site,Department Store,Deli / Bodega,Cycle Studio,Currency Exchange,Curling Ice,Cupcake Shop,Cuban Restaurant,Creperie,Coworking Space,Farmers Market,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Hawaiian Restaurant,Hardware Store,Harbor / Marina,Gym Pool,Gym / Fitness Center,Gym,Grocery Store,Greek Restaurant,Gourmet Shop,Golf Course,Gift Shop,German Restaurant,Gastropub,Gas Station,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food,Convenience Store
71,H8P ,45.4325141,-73.6292667, LaSalle Southeast,6,Fast Food Restaurant,Pharmacy,Bank,Coffee Shop,Italian Restaurant,Indian Restaurant,Optical Shop,Chinese Restaurant,Gym / Fitness Center,Bookstore,Furniture / Home Store,Department Store,Café,Discount Store,Restaurant,Pet Store,Grocery Store,Bakery,BBQ Joint,Sandwich Place,Middle Eastern Restaurant,Dumpling Restaurant,Drugstore,Dive Bar,Cupcake Shop,Dessert Shop,Diner,Dim Sum Restaurant,Curling Ice,Deli / Bodega,Cycle Studio,Currency Exchange,Empanada Restaurant,Yoga Studio,English Restaurant,Event Space,Gym,Greek Restaurant,Gourmet Shop,Golf Course,Gift Shop,German Restaurant,Gastropub,Gas Station,Gaming Cafe,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food
72,H9P ,45.4453082,-73.7510888, Dorval,6,Hotel,Convenience Store,Bank,Sushi Restaurant,Rental Car Location,Recreation Center,Gas Station,Park,Bar,Fast Food Restaurant,Coffee Shop,Sandwich Place,Pizza Place,Grocery Store,Middle Eastern Restaurant,Department Store,Discount Store,Diner,Dim Sum Restaurant,Dive Bar,Dessert Shop,Cycle Studio,Deli / Bodega,Dumpling Restaurant,Currency Exchange,Curling Ice,Cupcake Shop,Cuban Restaurant,Creperie,Coworking Space,Cosmetics Shop,Drugstore,Yoga Studio,Empanada Restaurant,Furniture / Home Store,Gym / Fitness Center,Gym,Greek Restaurant,Gourmet Shop,Golf Course,Gift Shop,German Restaurant,Gastropub,Gaming Cafe,Fried Chicken Joint,English Restaurant,French Restaurant,Food Truck,Food & Drink Shop,Food
73,H1R ,45.58671,-73.5969488, Saint-Léonard West,12,Dessert Shop,Hockey Arena,Drugstore,Discount Store,Dim Sum Restaurant,Farm,Falafel Restaurant,Event Space,English Restaurant,Empanada Restaurant,Dumpling Restaurant,Dive Bar,Diner,Yoga Studio,Fast Food Restaurant,Department Store,Deli / Bodega,Cycle Studio,Currency Exchange,Curling Ice,Cupcake Shop,Cuban Restaurant,Creperie,Coworking Space,Farmers Market,Filipino Restaurant,Convenience Store,Fish & Chips Shop,Hawaiian Restaurant,Hardware Store,Harbor / Marina,Gym Pool,Gym / Fitness Center,Gym,Grocery Store,Greek Restaurant,Gourmet Shop,Golf Course,Gift Shop,German Restaurant,Gastropub,Gas Station,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food,Cosmetics Shop
74,H2R ,45.558557050000005,-73.61199601529296, Villeray Southeast,0,Park,Pizza Place,Diner,Restaurant,Theater,Department Store,English Restaurant,Empanada Restaurant,Dumpling Restaurant,Drugstore,Dive Bar,Discount Store,Dim Sum Restaurant,Dessert Shop,Yoga Studio,Deli / Bodega,Falafel Restaurant,Cycle Studio,Currency Exchange,Curling Ice,Cupcake Shop,Cuban Restaurant,Creperie,Coworking Space,Cosmetics Shop,Event Space,Farm,Construction & Landscaping,Gastropub,Harbor / Marina,Gym Pool,Gym / Fitness Center,Gym,Grocery Store,Greek Restaurant,Gourmet Shop,Golf Course,Gift Shop,German Restaurant,Gas Station,Farmers Market,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food,Fish & Chips Shop,Filipino Restaurant
75,H3R ,45.5086157,-73.5903112, Mount Royal Central,9,Monument / Landmark,Scenic Lookout,Trail,Café,Diner,Falafel Restaurant,Event Space,English Restaurant,Empanada Restaurant,Dumpling Restaurant,Drugstore,Dive Bar,Discount Store,Yoga Studio,Farm,Dessert Shop,Department Store,Deli / Bodega,Cycle Studio,Currency Exchange,Curling Ice,Cupcake Shop,Cuban Restaurant,Creperie,Coworking Space,Dim Sum Restaurant,Farmers Market,Convenience Store,German Restaurant,Hardware Store,Harbor / Marina,Gym Pool,Gym / Fitness Center,Gym,Grocery Store,Greek Restaurant,Gourmet Shop,Golf Course,Gift Shop,Gastropub,Fast Food Restaurant,Gas Station,Gaming Cafe,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Food & Drink Shop,Food,Fish & Chips Shop
