,Borough,Latitude,Longitude,Neighborhood
89,H4T ,45.5088774,-73.6875187, Saint-Laurent Southeast
90,H7T ,45.5384715,-73.7427541, Chomedey Northwest
91,H8T ,45.4486762,-73.7112039, Lachine West
92,H1V ,45.5563739,-73.5386869, Maisonneuve
93,H2V ,45.5186167,-73.6068856, Outremont
94,H3V ,45.4988496,-73.6239598, Côte-des-Neiges East
95,H4V ,45.4772716,-73.6637524, Côte Saint-Luc East
96,H7V ,45.5384715,-73.7427541, Chomedey East
97,H1W ,45.5403861,-73.54154142918655, Hochelaga
98,H2W ,45.5218361,-73.5821731, Plateau Mont-Royal South Central
99,H3W ,45.4988496,-73.6239598, Côte-des-Neiges Southwest
100,H4W ,45.4772716,-73.6637524, Côte Saint-Luc West
101,H7W ,45.5384715,-73.7427541, Chomedey South
102,H9W ,45.4289766,-73.8654387, Beaconsfield
103,H1X ,45.5314955,-73.5973383, Rosemont Central
104,H2X ,45.5218361,-73.5821731, Plateau Mont-Royal Southeast
105,H3X ,45.4811545,-73.6469908, Hampstead
106,H4X ,45.452853,-73.6442548, Montreal West
107,H7X ,45.5284869,-73.8200017, Sainte-Dorothée
108,H9X ,45.4092897,-73.9461485, Sainte-Anne-De-Bellevue
109,H1Y ,45.5314955,-73.5973383, Rosemont South
110,H2Y ,45.5033677,-73.5574484, Old Montreal
111,H4Y ,45.4453082,-73.7510888, Dorval Central 
112,H7Y ,45.5203029,-73.8522024, Îles-Laval
113,H1Z ,45.2381816,-73.5699087, Saint-Michel West
114,H2Z ,45.5052895,-73.5640756, Downtown Montreal Northeast
115,H3Z ,45.4857329,-73.5963951, Westmount South
116,H4Z ,45.50047945,-73.56200662488715, Tour de la Bourse
117,H8Z ,45.4955083,-73.8471749, Pierrefonds
